iter	Logloss
0	0.6469154408
1	0.6083987403
2	0.5771833501
3	0.5420690466
4	0.5172122875
5	0.4914507059
6	0.4673464286
7	0.447806487
8	0.4278086405
9	0.4142667478
10	0.3955019265
11	0.3814436771
12	0.3708946541
13	0.359366861
14	0.3498302162
15	0.3411472689
16	0.3347242295
17	0.3248603886
18	0.316522959
19	0.3114232689
20	0.3062811251
21	0.2999291294
22	0.2953152707
23	0.2902812428
24	0.2863067395
25	0.2825588297
26	0.278974909
27	0.2746144502
28	0.271004533
29	0.2676095407
30	0.2638299415
31	0.2617462476
32	0.2586551848
33	0.25649855
34	0.2548743089
35	0.2527202702
36	0.2509109671
37	0.2491947267
38	0.2475278289
39	0.2462437203
40	0.2451514958
41	0.2434068899
42	0.2415035313
43	0.2404661204
44	0.2395309847
45	0.2381404001
46	0.2365780722
47	0.235690074
48	0.2346037052
49	0.2331210192
50	0.2322176058
51	0.230861954
52	0.2299701158
53	0.2287916822
54	0.2280805136
55	0.227373074
56	0.2267474094
57	0.2263044415
58	0.2255294966
59	0.2246073693
60	0.2238021061
61	0.2231809992
62	0.2224223652
63	0.2218378562
64	0.2210497793
65	0.220452127
66	0.220097895
67	0.2192881183
68	0.218936736
69	0.2184125015
70	0.2177498555
71	0.2172988483
72	0.2169440587
73	0.216212197
74	0.2157281833
75	0.2152791124
76	0.2150016197
77	0.2143995434
78	0.2139477717
79	0.2137995725
80	0.2133324891
81	0.212858436
82	0.2124536429
83	0.2121096326
84	0.2115140642
85	0.2111925372
86	0.2106856278
87	0.2102439706
88	0.2098663118
89	0.2095957521
90	0.2092390451
91	0.2090910389
92	0.2087283967
93	0.2084523458
94	0.2081582079
95	0.2078795408
96	0.2076103385
97	0.2073472656
98	0.2070135452
99	0.2068472956
100	0.2067941471
101	0.2063945336
102	0.2058086282
103	0.2053749309
104	0.2049942218
105	0.2047942265
106	0.2046154883
107	0.2043666562
108	0.2040340547
109	0.2037216229
110	0.2034644008
111	0.2030846682
112	0.2026569654
113	0.2023611977
114	0.2021467143
115	0.2019712092
116	0.2017553483
117	0.2013889785
118	0.2011886652
119	0.2009437021
120	0.2008344345
121	0.2002837078
122	0.2000245367
123	0.1997836002
124	0.1995044827
125	0.1992181672
126	0.1988627759
127	0.1985246202
128	0.1981946148
129	0.1980851655
130	0.1979730596
131	0.1977418062
132	0.1974645796
133	0.1973080446
134	0.19706058
135	0.196933156
136	0.1966182075
137	0.1964519768
138	0.1963226114
139	0.1960202588
140	0.195851577
141	0.1954977954
142	0.1951250361
143	0.1948867967
144	0.1945872118
145	0.1943623275
146	0.1942111941
147	0.1940192823
148	0.1938421613
149	0.193737874
150	0.1935595116
151	0.1934051905
152	0.1931760463
153	0.1927151794
154	0.1924540177
155	0.1922060308
156	0.1920496106
157	0.1918866445
158	0.191659284
159	0.1915010548
160	0.1913376838
161	0.1909710617
162	0.1906535474
163	0.1904270498
164	0.1901156764
165	0.1898615726
166	0.1896702575
167	0.1894535198
168	0.1893432128
169	0.1890295662
170	0.1888709699
171	0.1886063619
172	0.1883796813
173	0.1882019421
174	0.1879569462
175	0.1876588738
176	0.1874044925
177	0.1872131131
178	0.1870795936
179	0.1868791656
180	0.1866251337
181	0.1863779706
182	0.1861992841
183	0.1860836561
184	0.1858533501
185	0.1856590982
186	0.1855330354
187	0.1854304927
188	0.1852814697
189	0.1850974547
190	0.184845141
191	0.1846599629
192	0.1844385755
193	0.1842907812
194	0.1840720177
195	0.1839653045
196	0.183811734
197	0.1836626492
198	0.1836121234
199	0.1834235671
200	0.1832353476
201	0.1831323003
202	0.1828931375
203	0.1826908096
204	0.1825370738
205	0.1824228499
206	0.1822765921
207	0.1820905902
208	0.1818464332
209	0.1817802828
210	0.1816575956
211	0.1815807025
212	0.181438793
213	0.1811984897
214	0.1810727876
215	0.1809776094
216	0.1807286512
217	0.1805034832
218	0.1803758788
219	0.1802044974
220	0.1800081061
221	0.1797972117
222	0.1796559468
223	0.1795017984
224	0.1792587427
225	0.1790315525
226	0.1789058605
227	0.178727179
228	0.1785582449
229	0.1784751087
230	0.1783796479
231	0.1781790093
232	0.1780906644
233	0.1779772428
234	0.1777699385
235	0.1776470797
236	0.1775195245
237	0.177325525
238	0.177181973
239	0.1770103142
