iter	Passed	Remaining
0	9	9785
1	21	10521
2	30	9990
3	39	9858
4	48	9580
5	58	9673
6	69	9919
7	80	9935
8	90	9924
9	99	9835
10	111	10057
11	123	10165
12	134	10207
13	144	10190
14	153	10098
15	162	10004
16	173	10038
17	183	9987
18	195	10073
19	204	10039
20	214	10011
21	224	9988
22	234	9951
23	243	9891
24	253	9890
25	264	9897
26	273	9863
27	282	9797
28	292	9783
29	302	9774
30	312	9769
31	322	9743
32	332	9744
33	342	9727
34	351	9696
35	360	9660
36	371	9661
37	382	9677
38	393	9690
39	402	9667
40	412	9637
41	421	9624
42	431	9607
43	440	9571
44	451	9578
45	462	9594
46	472	9578
47	481	9542
48	490	9510
49	500	9500
50	522	9718
51	531	9694
52	541	9683
53	552	9687
54	565	9708
55	574	9678
56	584	9669
57	594	9660
58	604	9640
59	614	9625
60	623	9591
61	633	9579
62	644	9585
63	656	9602
64	667	9598
65	675	9564
66	685	9543
67	695	9528
68	705	9524
69	715	9512
70	725	9499
71	735	9475
72	743	9447
73	753	9429
74	763	9422
75	774	9416
76	785	9420
77	795	9401
78	805	9392
79	814	9370
80	824	9354
81	833	9328
82	843	9321
83	854	9320
84	864	9303
85	872	9274
86	882	9258
87	893	9258
88	903	9245
89	913	9237
90	924	9233
91	934	9219
92	943	9199
93	952	9180
94	963	9179
95	974	9173
96	985	9173
97	996	9169
98	1006	9160
99	1015	9141
100	1024	9119
101	1035	9116
102	1046	9110
103	1056	9102
104	1066	9093
105	1076	9077
106	1085	9060
107	1094	9043
108	1106	9047
109	1117	9040
110	1126	9025
111	1136	9010
112	1146	8996
113	1157	8994
114	1166	8980
115	1177	8973
116	1186	8955
117	1196	8942
118	1205	8924
119	1214	8906
120	1224	8894
121	1234	8881
122	1244	8872
123	1253	8856
124	1262	8837
125	1271	8822
126	1280	8805
127	1291	8795
128	1301	8788
129	1312	8780
130	1321	8763
131	1329	8744
132	1338	8727
133	1349	8722
134	1358	8703
135	1368	8692
136	1378	8684
137	1388	8672
138	1397	8655
139	1406	8640
140	1416	8627
141	1425	8611
142	1435	8602
143	1446	8600
144	1456	8585
145	1464	8568
146	1473	8551
147	1484	8543
148	1494	8538
149	1505	8530
150	1514	8515
151	1524	8504
152	1533	8491
153	1543	8479
154	1554	8473
155	1564	8464
156	1574	8456
157	1584	8443
158	1593	8430
159	1603	8416
160	1613	8406
161	1622	8392
162	1633	8387
163	1644	8381
164	1654	8370
165	1664	8361
166	1673	8345
167	1683	8337
168	1693	8327
169	1705	8328
170	1715	8316
171	1724	8299
172	1733	8286
173	1744	8279
174	1753	8266
175	1765	8263
176	1775	8254
177	1784	8242
178	1793	8228
179	1802	8212
180	1813	8203
181	1822	8193
182	1832	8182
183	1842	8172
184	1852	8159
185	1861	8144
186	1872	8139
187	1882	8130
188	1893	8126
189	1904	8118
190	1914	8107
191	1922	8090
192	1931	8077
193	1942	8070
194	1952	8061
195	1965	8063
196	1976	8056
197	1986	8044
198	1995	8033
199	2006	8024
200	2015	8010
201	2025	8000
202	2035	7990
203	2044	7978
204	2053	7963
205	2063	7953
206	2073	7943
207	2083	7932
208	2092	7920
209	2102	7910
210	2112	7899
211	2120	7883
212	2129	7869
213	2140	7862
214	2150	7851
215	2160	7843
216	2170	7831
217	2180	7821
218	2189	7808
219	2198	7793
220	2208	7783
221	2217	7772
222	2228	7763
223	2238	7753
224	2246	7738
225	2256	7726
226	2265	7713
227	2275	7703
228	2284	7693
229	2296	7687
230	2306	7677
231	2315	7664
232	2324	7651
233	2334	7643
234	2344	7631
235	2354	7621
236	2365	7615
237	2375	7605
238	2384	7593
239	2393	7580
240	2404	7571
241	2414	7562
242	2424	7553
243	2434	7542
244	2443	7530
245	2452	7517
246	2462	7506
247	2472	7495
248	2482	7487
249	2492	7478
250	2503	7471
251	2512	7458
252	2522	7447
253	2533	7440
254	2542	7427
255	2553	7420
256	2563	7410
257	2572	7399
258	2582	7387
259	2591	7375
260	2601	7365
261	2611	7355
262	2622	7347
263	2632	7339
264	2641	7325
265	2650	7313
266	2661	7306
267	2673	7301
268	2683	7291
269	2693	7283
270	2703	7271
271	2712	7259
272	2721	7247
273	2732	7239
274	2742	7229
275	2754	7226
276	2764	7216
277	2773	7203
278	2783	7192
279	2792	7181
280	2801	7168
281	2812	7161
282	2822	7151
283	2832	7140
284	2840	7127
285	2850	7115
286	2860	7107
287	2870	7097
288	2881	7089
289	2891	7079
290	2901	7069
291	2910	7057
292	2921	7048
293	2931	7039
294	2942	7031
295	2952	7022
296	2962	7012
297	2973	7004
298	2983	6995
299	2994	6986
300	3004	6977
301	3015	6968
302	3025	6958
303	3034	6946
304	3043	6935
305	3053	6925
306	3062	6913
307	3072	6904
308	3083	6895
309	3092	6884
310	3101	6871
311	3111	6861
312	3122	6854
313	3131	6842
314	3143	6835
315	3153	6824
316	3162	6813
317	3172	6803
318	3180	6790
319	3191	6781
320	3201	6772
321	3212	6764
322	3222	6754
323	3232	6744
324	3241	6733
325	3252	6723
326	3261	6713
327	3272	6704
328	3282	6694
329	3292	6684
330	3301	6672
331	3310	6661
332	3321	6652
333	3330	6641
334	3342	6634
335	3351	6623
336	3361	6613
337	3370	6601
338	3379	6590
339	3389	6579
340	3399	6569
341	3409	6560
342	3419	6550
343	3429	6540
344	3439	6529
345	3449	6519
346	3458	6508
347	3468	6499
348	3478	6489
349	3488	6478
350	3497	6467
351	3507	6456
352	3517	6446
353	3526	6435
354	3537	6427
355	3547	6417
356	3557	6407
357	3566	6395
358	3576	6385
359	3585	6374
360	3595	6363
361	3605	6354
362	3615	6343
363	3624	6333
364	3635	6323
365	3644	6313
366	3654	6303
367	3665	6295
368	3676	6286
369	3686	6277
370	3695	6265
371	3704	6253
372	3714	6244
373	3724	6233
374	3734	6224
375	3744	6213
376	3754	6203
377	3763	6192
378	3772	6180
379	3781	6169
380	3791	6160
381	3802	6151
382	3811	6140
383	3820	6129
384	3830	6119
385	3842	6112
386	3854	6105
387	3864	6095
388	3874	6085
389	3884	6075
390	3893	6064
391	3903	6054
392	3913	6044
393	3924	6036
394	3935	6027
395	3945	6018
396	3955	6008
397	3965	5998
398	3975	5988
399	3985	5978
400	3996	5969
401	4005	5958
402	4014	5947
403	4024	5936
404	4032	5924
405	4042	5914
406	4053	5905
407	4064	5897
408	4074	5888
409	4083	5876
410	4092	5865
411	4103	5855
412	4112	5844
413	4122	5834
414	4131	5824
415	4141	5814
416	4150	5803
417	4160	5792
418	4170	5782
419	4180	5772
420	4190	5762
421	4200	5753
422	4210	5743
423	4219	5731
424	4227	5720
425	4238	5710
426	4248	5701
427	4258	5691
428	4269	5682
429	4279	5672
430	4288	5661
431	4298	5651
432	4308	5641
433	4317	5630
434	4328	5621
435	4337	5611
436	4346	5600
437	4355	5588
438	4367	5581
439	4376	5570
440	4387	5560
441	4398	5552
442	4407	5541
443	4416	5530
444	4425	5519
445	4435	5509
446	4446	5501
447	4457	5492
448	4467	5482
449	4477	5472
450	4487	5462
451	4497	5452
452	4507	5442
453	4517	5432
454	4527	5423
455	4538	5413
456	4547	5402
457	4556	5391
458	4566	5381
459	4575	5371
460	4586	5362
461	4597	5353
462	4606	5342
463	4616	5332
464	4624	5321
465	4635	5311
466	4646	5302
467	4658	5295
468	4670	5288
469	4681	5278
470	4693	5272
471	4705	5263
472	4715	5254
473	4726	5245
474	4738	5237
475	4748	5226
476	4758	5216
477	4767	5206
478	4777	5196
479	4787	5186
480	4797	5176
481	4806	5165
482	4815	5154
483	4826	5145
484	4837	5136
485	4849	5128
486	4858	5118
487	4868	5107
488	4878	5097
489	4890	5090
490	4899	5079
491	4909	5068
492	4919	5059
493	4930	5050
494	4939	5039
495	4949	5029
496	4959	5019
497	4970	5010
498	4980	5000
499	4991	4991
500	5001	4981
501	5010	4970
502	5021	4961
503	5030	4950
504	5041	4941
505	5052	4932
506	5062	4922
507	5071	4911
508	5081	4901
509	5091	4891
510	5101	4881
511	5112	4872
512	5122	4862
513	5132	4852
514	5141	4842
515	5151	4832
516	5160	4821
517	5170	4811
518	5181	4801
519	5191	4791
520	5199	4780
521	5208	4769
522	5219	4760
523	5229	4750
524	5240	4741
525	5250	4731
526	5259	4720
527	5269	4710
528	5278	4700
529	5289	4690
530	5298	4680
531	5309	4670
532	5318	4659
533	5328	4649
534	5337	4638
535	5347	4629
536	5357	4619
537	5368	4610
538	5379	4600
539	5389	4590
540	5397	4579
541	5407	4569
542	5417	4559
543	5427	4549
544	5437	4539
545	5448	4530
546	5458	4520
547	5468	4510
548	5477	4499
549	5489	4491
550	5499	4481
551	5510	4472
552	5520	4462
553	5531	4453
554	5542	4443
555	5552	4433
556	5563	4424
557	5573	4414
558	5584	4405
559	5595	4396
560	5605	4386
561	5616	4377
562	5627	4368
563	5637	4357
564	5647	4348
565	5658	4338
566	5669	4329
567	5679	4319
568	5690	4310
569	5700	4300
570	5711	4291
571	5723	4282
572	5733	4272
573	5743	4262
574	5753	4252
575	5762	4242
576	5773	4232
577	5783	4222
578	5794	4213
579	5805	4203
580	5814	4193
581	5824	4183
582	5833	4172
583	5842	4161
584	5853	4152
585	5863	4142
586	5876	4134
587	5887	4125
588	5897	4115
589	5908	4105
590	5919	4096
591	5929	4086
592	5939	4076
593	5948	4066
594	5958	4055
595	5968	4045
596	5978	4035
597	5988	4025
598	5998	4015
599	6008	4005
600	6019	3996
601	6028	3985
602	6039	3975
603	6049	3966
604	6060	3957
605	6071	3947
606	6081	3937
607	6091	3927
608	6102	3918
609	6113	3908
610	6124	3898
611	6133	3888
612	6143	3878
613	6154	3868
614	6164	3858
615	6174	3848
616	6185	3839
617	6194	3828
618	6204	3819
619	6216	3810
620	6226	3799
621	6235	3789
622	6246	3779
623	6256	3770
624	6268	3760
625	6278	3750
626	6289	3741
627	6300	3732
628	6311	3722
629	6321	3712
630	6332	3703
631	6343	3693
632	6352	3683
633	6364	3673
634	6375	3664
635	6386	3655
636	6396	3644
637	6407	3635
638	6417	3625
639	6428	3615
640	6437	3605
641	6448	3595
642	6458	3585
643	6468	3575
644	6478	3565
645	6488	3555
646	6498	3545
647	6510	3536
648	6521	3526
649	6531	3516
650	6541	3506
651	6550	3496
652	6560	3486
653	6570	3476
654	6580	3466
655	6590	3455
656	6600	3446
657	6613	3437
658	6623	3427
659	6634	3417
660	6644	3407
661	6656	3398
662	6665	3388
663	6675	3378
664	6685	3367
665	6695	3357
666	6708	3349
667	6719	3339
668	6730	3330
669	6740	3319
670	6750	3309
671	6760	3299
672	6770	3289
673	6782	3280
674	6794	3271
675	6805	3261
676	6815	3251
677	6826	3241
678	6836	3231
679	6846	3221
680	6857	3212
681	6866	3201
682	6876	3191
683	6886	3181
684	6898	3172
685	6908	3162
686	6920	3153
687	6929	3142
688	6939	3132
689	6950	3122
690	6960	3112
691	6970	3102
692	6980	3092
693	6990	3082
694	7002	3072
695	7011	3062
696	7022	3052
697	7033	3043
698	7044	3033
699	7055	3023
700	7065	3013
701	7074	3003
702	7085	2993
703	7096	2983
704	7106	2973
705	7117	2963
706	7128	2954
707	7138	2944
708	7153	2935
709	7167	2927
710	7180	2918
711	7193	2909
712	7205	2900
713	7216	2890
714	7226	2880
715	7237	2870
716	7249	2861
717	7258	2850
718	7268	2840
719	7279	2830
720	7290	2821
721	7303	2812
722	7314	2802
723	7324	2792
724	7335	2782
725	7347	2773
726	7359	2763
727	7370	2753
728	7381	2744
729	7395	2735
730	7407	2725
731	7418	2716
732	7429	2706
733	7443	2697
734	7455	2687
735	7466	2678
736	7476	2667
737	7486	2657
738	7497	2648
739	7506	2637
740	7516	2627
741	7526	2617
742	7537	2607
743	7548	2597
744	7558	2587
745	7568	2576
746	7578	2566
747	7589	2556
748	7600	2546
749	7610	2536
750	7620	2526
751	7631	2516
752	7641	2506
753	7652	2496
754	7662	2486
755	7672	2476
756	7682	2466
757	7693	2456
758	7704	2446
759	7715	2436
760	7726	2426
761	7737	2416
762	7747	2406
763	7758	2396
764	7769	2386
765	7780	2376
766	7790	2366
767	7801	2356
768	7811	2346
769	7821	2336
770	7832	2326
771	7844	2316
772	7856	2307
773	7868	2297
774	7878	2287
775	7889	2277
776	7899	2267
777	7909	2256
778	7919	2246
779	7928	2236
780	7938	2225
781	7948	2215
782	7958	2205
783	7968	2195
784	7979	2185
785	7989	2175
786	8000	2165
787	8010	2155
788	8021	2145
789	8031	2135
790	8042	2124
791	8051	2114
792	8061	2104
793	8072	2094
794	8083	2084
795	8093	2074
796	8102	2063
797	8112	2053
798	8120	2042
799	8130	2032
800	8140	2022
801	8152	2012
802	8161	2002
803	8172	1992
804	8183	1982
805	8193	1972
806	8203	1961
807	8213	1951
808	8223	1941
809	8234	1931
810	8244	1921
811	8254	1911
812	8264	1900
813	8275	1891
814	8286	1880
815	8297	1870
816	8307	1860
817	8316	1850
818	8326	1840
819	8336	1830
820	8346	1819
821	8356	1809
822	8366	1799
823	8377	1789
824	8387	1779
825	8398	1769
826	8409	1759
827	8420	1749
